Question,text
What is meant by selection bias?,"Selection bias is a type of error that arises when the researcher decides on 
whom he is going to conduct the study. It happens when the selection of participants 
takes place not randomly. Selection bias is also sometimes referred to as a selection 
effect. It works more effectively and sometimes if the selection bias is not taken into 
account, the conclusions of the study may go wrong."
What is a Boltzmann machine?,"Boltzmann developed with simple learning algorithms that allow them to find 
the important information that was presented in the complex regularities in the data. 
These machines are generally used to optimize the quantity and the weights of the 
given problem. The learning program works very slow in networks due to many layers of 
feature detectors. When we consider Restricted Boltzmann Machines, this has a single 
algorithm feature detectors that make it faster compared to others."
What is the difference between Cluster and Systematic Sampling?,"Cluster sampling is a technique used when it becomes difficult to study the 
target population spread across a wide area and simple random sampling cannot be 
applied. Cluster Sample is a probability sample where each sampling unit is a collection 
or cluster of elements. Systematic sampling is a statistical technique where elements 
are selected from an ordered sampling frame. In systematic sampling, the list is 
progressed in a circular manner so once you reach the end of the list, it is progressed 
from the top again. The best example of systematic sampling is equal probability 
method."
What is the Law of Large Numbers?,"It is a theorem that describes the result of performing the same experiment a 
large number of times. This theorem forms the basis of frequency-style thinking. It says 
that the sample means, the sample variance and the sample standard deviation 
converge to what they are trying to estimate."
What are Eigenvectors and Eigenvalues?,"Eigenvectors are used for understanding linear transformations. In data 
analysis, we usually calculate the eigenvectors for a correlation or covariance matrix. 
Eigenvectors are the directions along which a particular linear transformation acts by 
flipping, compressing or stretching. 
Eigenvalue can be referred to as the strength of the transformation in the direction of 
eigenvector or the factor by which the compression occurs."
"Can you cite some examples where both false positive and false negatives are 
equally important?","In the Banking industry giving loans is the primary source of making money 
but at the same time if your repayment rate is not good you will not make any profit, 
rather you will risk huge losses. 
Banks don’t want to lose good customers and at the same point in time, they don’t want 
to acquire bad customers. In this scenario, both the false positives and false negatives 
become very important to measure."
"What is logistic regression? State an example when you have used logistic 
regression recently.","Logistic Regression often referred to as the logit model is a technique to 
predict the binary outcome from a linear combination of predictor variables. 
For example, if you want to predict whether a particular political leader will win the 
election or not. In this case, the outcome of prediction is binary i.e. 0 or 1 (Win/Lose). 
The predictor variables here would be the amount of money spent on election 
campaigning of a particular candidate, the amount of time spent in campaigning, etc."
What is the role of the Activation Function?,"The Activation function is used to introduce non-linearity into the neural 
network helping it to learn more complex function. Without which the neural network 
would be only able to learn linear function which is a linear combination of its input data. 
An activation function is a function in an artificial neuron that delivers an output based 
on inputs."
What do you mean by cluster sampling and systematic sampling?,"When studying the target population spread throughout a wide area becomes 
difficult and applying simple random sampling becomes ineffective, the technique of 
cluster sampling is used. A cluster sample is a probability sample, in which each of the 
sampling units is a collection or cluster of elements. 
Following the technique of systematic sampling, elements are chosen from an ordered 
sampling frame. The list is advanced in a circular fashion. This is done in such a way so 
that once the end of the list is reached, the same is progressed from the start, or top, 
again."
Please explain Gradient Descent?,"The degree of change in the output of a function relating to the changes made 
to the inputs is known as a gradient. It measures the change in all weights with respect 
to the change in error. A gradient can also be comprehended as the slope of a function. 
Gradient Descent refers to escalating down to the bottom of a valley. Simply, consider 
this something as opposed to climbing up a hill. It is a minimization algorithm meant for 
minimizing a given activation function."
What do you know about Autoencoders?,"Autoencoders are simplistic learning networks used for transforming inputs 
into outputs with minimum possible error. It means that the outputs resulted are very 
close to the inputs. 
A couple of layers are added between the input and the output with the size of each 
layer smaller than the size pertaining to the input layer. An autoencoder receives 
unlabeled input that is encoded for reconstructing the output."
