Question,text
What’s the trade-off between bias and variance?,"Bias is error due to erroneous or overly simplistic assumptions in the 
learning algorithm you’re using. This can lead to the model underfit-
ting your data, making it hard for it to have high predictive accuracy 
and for you to generalize your knowledge from the training set to the 
test set.
Variance is error due to too much complexity in the learning algo-
rithm you’re using. This leads to the algorithm being highly sensitive 
to high degrees of variation in your training data, which can lead your 
model to overfit the data. You’ll be carrying too much noise from your 
training data for your model to be very useful for your test data.
The bias-variance decomposition essentially decomposes the learning 
error from any algorithm by adding the bias, the variance and a bit of 
irreducible error due to noise in the underlying dataset. Essentially, if 
you make the model more complex and add more variables, you’ll lose 
bias but gain some variance — in order to get the optimally reduced 
amount of error, you’ll have to tradeoff bias and variance. You don’t 
want either high bias or high variance in your model."
"What is the difference between supervised and unsu-
pervised machine learning?","Supervised learning requires training labeled data. For example, in 
order to do classification (a supervised learning task), you’ll need to 
first label the data you’ll use to train the model to classify data into 
your labeled groups. Unsupervised learning, in contrast, does not 
require labeling data explicitly."
How is KNN different from k-means clustering?,"K-Nearest Neighbors is a supervised classification algorithm, while 
k-means clustering is an unsupervised clustering algorithm. While the 
mechanisms may seem similar at first, what this really means is that 
in order for K-Nearest Neighbors to work, you need labeled data you 
want to classify an unlabeled point into (thus the nearest neighbor 
part). K-means clustering requires only a set of unlabeled points and 
a threshold: the algorithm will take unlabeled points and gradually 
learn how to cluster them into groups by computing the mean of the 
distance between different points.
The critical difference here is that KNN needs labeled points and is 
thus supervised learning, while k-means doesn’t — and is thus unsu-
pervised learning."
Explain how a ROC curve works.,"The ROC curve is a graphical representation of the contrast between 
true positive rates and the false positive rate at various thresholds. 
It’s often used as a proxy for the trade-off between the sensitivity of 
the model (true positives) vs the fall-out or the probability it will trig-
ger a false alarm (false positives)."
Define precision and recall.,"Recall is also known as the true positive rate: the amount of positives 
your model claims compared to the actual number of positives there 
are throughout the data. Precision is also known as the positive pre-
dictive value, and it is a measure of the amount of accurate positives 
your model claims compared to the number of positives it actually 
claims. It can be easier to think of recall and precision in the context 
of a case where you’ve predicted that there were 10 apples and 5 
oranges in a case of 10 apples. You’d have perfect recall (there are 
actually 10 apples, and you predicted there would be 10) but 66.7% 
precision because out of the 15 events you predicted, only 10 (the 
apples) are correct."
"What is Bayes’ Theorem? How is it useful in a machine 
learning context?","Bayes’ Theorem gives you the posterior probability of an event given 
what is known as prior knowledge.
Mathematically, it’s expressed as the true positive rate of a condition 
sample divided by the sum of the false positive rate of the population 
and the true positive rate of a condition. Say you had a 60% chance of 
actually having the flu after a flu test, but out of people who had the 
flu, the test will be false 50% of the time, and the overall population 
only has a 5% chance of having the flu. Would you actually have a 
60% chance of having the flu after having a positive test?
Bayes’ Theorem says no. It says that you have a (.6 * 0.05) (True Pos-
itive Rate of a Condition Sample) / (.6*0.05)(True Positive Rate of a 
Condition Sample) + (.5*0.95) (False Positive Rate of a Population)  = 
0.0594 or 5.94% chance of getting a flu.
Bayes’ Theorem is the basis behind a branch of machine learning that 
most notably includes the Naive Bayes classifier. That’s something 
important to consider when you’re faced with machine learning inter-
view questions."
Why is “Naive” Bayes naive?,"Despite its practical applications, especially in text mining, Naive 
Bayes is considered “Naive” because it makes an assumption that is 
virtually impossible to see in real-life data: the conditional probabil-
ity is calculated as the pure product of the individual probabilities of 
components. This implies the absolute independence of features — a 
condition probably never met in real life.
As a Quora commenter put it whimsically, a Naive Bayes classifier 
that figured out that you liked pickles and ice cream would probably 
naively recommend you a pickle ice cream."
"Explain the difference between L1 and L2 regulariza-
tion.","L2 regularization tends to spread error among all the terms, while L1 
is more binary/sparse, with many variables either being assigned a 1 
or 0 in weighting. L1 corresponds to setting a Laplacean prior on the 
terms, while L2 corresponds to a Gaussian prior."
"What’s the difference between Type I and Type II 
error?","Type I error is a false positive, while Type II error is a false negative. 
Briefly stated, Type I error means claiming something has happened 
when it hasn’t, while Type II error means that you claim nothing is 
happening when in fact something is.
A clever way to think about this is to think of Type I error as telling a 
man he is pregnant, while Type II error means you tell a pregnant 
woman she isn’t carrying a baby."
What’s a Fourier transform?,"A Fourier transform is a generic method to decompose generic func-
tions into a superposition of symmetric functions. Or as this more 
intuitive tutorial puts it, given a smoothie, it’s how we find the rec-
ipe. The Fourier transform finds the set of cycle speeds, amplitudes 
and phases to match any time signal. A Fourier transform converts a 
signal from time to frequency domain — it’s a very common way to 
extract features from audio signals or other time series such as sen-
sor data."
